product_name,product_image,category
Ορθογώνιο Βοηθητικό Τραπεζάκι Zet Ξύλινο Λευκό 1τμχ Μ51xΠ17xΥ45εκ.,https://c.scdn.gr/images/sku_main_images/025605/25605298/fixedratio_20220111104406_zet_120_000036_leyko_51x17x45cm.jpeg,small_table
Τετράγωνο Βοηθητικό Τραπεζάκι Γυάλινο Διάφανο 1τμχ Μ40xΠ40xΥ60εκ.,https://a.scdn.gr/images/sku_main_images/016784/16784926/fixedratio_20200220171039_voithitiko_trapezaki_tetragono_diafano_em729_1.jpeg,small_table
Ορθογώνιο Βοηθητικό Τραπεζάκι Mathraki Ξύλινο Φυσικό 1τμχ Μ60xΠ20xΥ60εκ.,https://c.scdn.gr/images/sku_main_images/037996/37996567/fixedratio_20220909133512_orthogonio_voithitiko_trapezaki_akris_mathraki_xylino_fysiko_14410193_m60xp20xy60ek.jpeg,small_table
Ορθογώνιο Βοηθητικό Τραπεζάκι Muju Ξύλινο Φυσικό 1τμχ Μ40xΠ30xΥ57εκ.,https://d.scdn.gr/images/sku_main_images/013416/13416013/fixedratio_20220210090423_orthogonio_voithitiko_trapezaki_muju_xylino_119_000769_m40xp30xy57ek.jpeg,small_table
Ορθογώνιο Τραπεζάκι Σαλονιού Νο 12 Ξύλινο με Σερβιτόρο Μελί 1τμχ Μ119xΠ66.5xΥ41εκ.,https://d.scdn.gr/images/sku_main_images/025838/25838598/fixedratio_20210426091448_voithitiko_trapezaki_no_12_orthogonio_meli_66_5x66_5x66_5cm.jpeg,small_table
Ορθογώνιο Τραπεζάκι Σαλονιού Glen από Μασίφ Ξύλο Καρυδί / Καφέ 1τμχ Μ79xΠ49xΥ50εκ.,https://d.scdn.gr/images/sku_main_images/037293/37293138/fixedratio_20220722162550_orthogonio_trapezaki_saloniou_glen_apo_masif_xylo_karydi_kafe_197_000038_m79xp49xy50ek.jpeg,small_table
Στρογγυλό Τραπεζάκι Σαλονιού Mauricio Ξύλινο Μαύρο / Sonoma 1τμχ Μ78xΠ78xΥ43εκ.,https://b.scdn.gr/images/sku_main_images/036297/36297156/fixedratio_20220531092619_strogylo_trapezaki_saloniou_mauricio_xylino_mayro_sonoma_gp028_0065_1_m78xp78xy43ek.jpeg,small_table
Ορθογώνιο Τραπεζάκι Σαλονιού Maiha Γυάλινο Διάφανο 1τμχ Μ100xΠ60xΥ42.5εκ.,https://b.scdn.gr/images/sku_main_images/014309/14309685/fixedratio_20220210090423_orthogonio_trapezaki_saloniou_maiha_gyalino_011_000028_m100xp60xy42_5ek.jpeg,small_table
Ορθογώνιο Τραπεζάκι Σαλονιού Maiha Γυάλινο Διάφανο 1τμχ Μ100xΠ60xΥ42.5εκ.,https://c.scdn.gr/images/sku_main_images/014309/14309691/fixedratio_20220210091437_orthogonio_trapezaki_saloniou_maiha_gyalino_diafano_011_000029_m100xp60xy42_5ek.jpeg,small_table
Στρογγυλό Τραπεζάκι Σαλονιού Tika Ξύλινο Sonoma 1τμχ Μ82xΠ82xΥ42εκ.,https://a.scdn.gr/images/sku_main_images/028545/28545620/fixedratio_20210423165431_trapezaki_saloniou_tika_strogylo_sonoma_0121_gm06_82x82x42cm.jpeg,small_table
Οβάλ Βοηθητικό Τραπεζάκι Spline Ξύλινο Καρυδί 2τμχ Μ80xΠ40xΥ46εκ.,https://b.scdn.gr/images/sku_main_images/036220/36220406/fixedratio_20230516142335_oval_voithitiko_trapezaki_spline_xylino_karydi_gp022_0066_2_m80xp40xy46ek.jpeg,small_table
Ορθογώνιο Τραπεζάκι Σαλονιού Marcello Ξύλινο Ανθρακί / Sonoma 1τμχ Μ110xΠ55xΥ48εκ.,https://c.scdn.gr/images/sku_main_images/036297/36297237/fixedratio_20220531092619_orthogonio_trapezaki_saloniou_marcello_xylino_anthraki_sonoma_gp028_0073_1_m110xp55xy48ek.jpeg,small_table
Ορθογώνιο Τραπεζάκι Σαλονιού Ξύλινο Λευκό 1τμχ Μ58xΠ39xΥ66εκ.,https://a.scdn.gr/images/sku_main_images/022194/22194414/fixedratio_20200619152127_trapezaki_saloniou_orthogonio_leyko_6_50_590_0002.jpeg,small_table
